Название,Жанр,Режиссер,Страна,Год,IMDB
Холоп," комедия, мелодрама", Клим Шипенко , Россия,2019 , 6.6 
Кунг-фу Панда 3," мультфильм, боевик, приключения", Алессандро Карлони... ," США, Китай",2016 , 7.1 
Двухсотлетний человек," фантастика, драма, мелодрама", Крис Коламбус ," США, Германия",1999 , 6.9 
Боец," боевик, биография, драма", Дэвид О. Расселл , США,2010 , 7.8 
Бедные-несчастные," фантастика, драма, мелодрама", Йоргос Лантимос ," США, Ирландия, Великобритания",2023 , 7.8 
Хеллбой: Герой из пекла," фантастика, фэнтези, ужасы", Гильермо дель Торо , США,2004 , 6.9 
Прогулка," приключения, биография, драма", Роберт Земекис , США,2015 , 7.3 
Дети шпионов," фантастика, боевик, приключения", Роберт Родригес , США,2001 , 5.6 
Красавица и чудовище," фэнтези, мюзикл, приключения", Билл Кондон , США,2017 , 7.1 
Эйс Вентура 2: Когда зовёт природа," приключения, комедия, криминал", Стив Одекерк , США,1995 , 6.4 
Однажды в Америке," криминал, драма", Серджио Леоне ," США, Италия",1983 , 8.3 
Однажды в Ирландии," комедия, криминал, триллер", Джон Майкл Макдона ," Ирландия, Великобритания, США",2011 , 7.3 
Девять," мультфильм, фантастика, боевик", Шэйн Экер ," США, Германия",2009 , 7.0 
Ученик чародея," фэнтези, боевик, приключения", Джон Тёртлтауб ," США, Австралия, Филиппины",2010 , 6.1 
Смертельное оружие," боевик, криминал, триллер", Ричард Доннер , США,1987 , 7.6 
Знамение," фантастика, детектив, триллер", Алекс Пройас ," США, Великобритания, Австралия",2009 , 6.2 
8 миля," драма, музыка", Кёртис Хэнсон , США,2002 , 7.2 
Другой мир," фэнтези, боевик, триллер", Лен Уайзман ," США, Великобритания, Германия",2003 , 7.0 
Девчата," комедия, мелодрама", Юрий Чулюкин , СССР,1961 , 7.8 
Разрушение," драма, комедия", Жан-Марк Валле , США,2015 , 7.0 
Банши Инишерина," драма, комедия", Мартин Макдона ," Ирландия, Великобритания, США",2022 , 7.7 
Проект X, комедия, Нима Нуризаде , США,2012 , 6.7 
Призрачный гонщик," боевик, фэнтези, триллер", Марк Стивен Джонсон ," США, Австралия",2007 , 5.3 
Шерлок Холмс и доктор Ватсон: Собака Баскервилей," приключения, криминал, детектив", Игорь Масленников , СССР,1981 , 8.5 
Черепашки-ниндзя," фантастика, фэнтези, боевик", Джонатан Либесман , США,2014 , 5.8 
Лука," мультфильм, приключения, комедия", Энрико Касароса , США,2021 , 7.4 
Миссия невыполнима 2," боевик, приключения, триллер", Джон Ву ," США, Германия, Австралия",2000 , 6.1 
Факультет," ужасы, фантастика, триллер", Роберт Родригес ," США, Мексика",1998 , 6.6 
Тайлер Рейк: Операция по спасению," боевик, криминал, триллер", Сэм Харгрейв ," США, Индия",2020 , 6.8 
Поезд на Юму," боевик, криминал, драма", Джеймс Мэнголд , США,2007 , 7.6 
Семейка Крудс," мультфильм, приключения, комедия", Кирк де Микко... , США,2013 , 7.1 
Патруль времени," фантастика, боевик, драма", Майкл Спириг... ," Австралия, США",2013 , 7.4 
Чужой 3," ужасы, фантастика, боевик", Дэвид Финчер ," США, Великобритания",1992 , 6.4 
Призрачный патруль," боевик, комедия, мистика", Роберт Швентке , США,2013 , 5.6 
Турист," боевик, триллер", Флориан Хенкель фон Доннерсмарк ," США, Франция, Италия",2010 , 6.0 
Любой ценой," криминал, драма, триллер", Дэвид Маккензи , США,2016 , 7.6 
Пробуждение," биография, драма", Пенни Маршалл , США,1990 , 7.8 
Кошмар на улице Вязов," ужасы, мистика", Уэс Крэйвен , США,1984 , 7.4 
Знакомство с родителями," комедия, мелодрама", Джей Роуч , США,2000 , 7.0 
Сумерки. Сага: Рассвет – Часть 2," фэнтези, приключения, драма", Билл Кондон , США,2012 , 5.6 
Сумерки. Сага. Рассвет: Часть 1," фэнтези, приключения, драма", Билл Кондон , США,2011 , 4.9 
Смерть на Ниле," криминал, драма, детектив", Кеннет Брана , США,2020 , 6.3 
Кровью и потом: Анаболики," криминал, комедия, триллер", Майкл Бэй , США,2013 , 6.4 
Отличница лёгкого поведения," комедия, драма, мелодрама", Уилл Глак , США,2010 , 7.0 
Ледниковый период 4: Континентальный дрейф," мультфильм, комедия, приключения", Стив Мартино... ," США, Великобритания, Канада",2012 , 6.5 
Бегущий в лабиринте: Испытание огнём," фантастика, боевик, триллер", Уэс Болл , США,2015 , 6.3 
Рейд," боевик, криминал, триллер", Гарет Эванс ," Индонезия, Франция, США",2011 , 7.6 
Патруль," драма, криминал, боевик", Дэвид Эйр ," США, Великобритания",2012 , 7.6 
Миссия невыполнима 3," боевик, приключения, триллер", Джей Джей Абрамс ," США, Германия, Китай",2006 , 6.9 
Головоломка 2," мультфильм, приключения, комедия", Келси Манн , США,2024 , 7.6 
Кошмар перед Рождеством," мультфильм, семейный, фэнтези", Генри Селик , США,1993 , 7.9 
Счастливого дня смерти," комедия, ужасы, детектив", Кристофер Лэндон , США,2017 , 6.6 
Ганнибал," триллер, драма, криминал", Ридли Скотт ," США, Великобритания, Италия",2001 , 6.8 
Очень плохая училка," комедия, мелодрама", Джейк Кэздан , США,2011 , 5.7 
Миньоны," мультфильм, фантастика, приключения", Кайл Балда... ," США, Франция",2015 , 6.4 
Несносные боссы," комедия, криминал", Сет Гордон , США,2011 , 6.9 
Такси 4," боевик, комедия, криминал", Жерар Кравчик , Франция,2007 , 5.6 
Форсаж 9," боевик, криминал, триллер", Джастин Лин ," США, Таиланд, Канада",2021 , 5.2 
Горбатая гора," драма, мелодрама", Энг Ли ," США, Канада",2005 , 7.7 
Годзилла," фантастика, боевик, приключения", Гарет Эдвардс ," США, Япония",2014 , 6.4 
Хеллбой II: Золотая армия," фантастика, фэнтези, ужасы", Гильермо дель Торо ," США, Германия, Венгрия",2008 , 7.0 
Книга джунглей," приключения, драма, семейный", Джон Фавро ," США, Великобритания, Новая Зеландия",2016 , 7.3 
Синистер," ужасы, триллер, детектив", Скотт Дерриксон ," США, Великобритания, Канада",2012 , 6.8 
Враг общества," биография, криминал, драма", Майкл Манн ," США, Япония",2009 , 6.9 
Жизнь других," драма, детектив, триллер", Флориан Хенкель фон Доннерсмарк ," Германия, Франция",2006 , 8.4 
Хроники хищных городов," фантастика, фэнтези, боевик", Кристиан Риверс ," Новая Зеландия, США, Япония",2018 , 6.1 
Пушки Акимбо," боевик, комедия, криминал", Джейсон Хауден ," Германия, Новая Зеландия, Великобритания",2019 , 6.3 
Бессонница," драма, детектив, триллер", Кристофер Нолан ," США, Великобритания",2002 , 7.2 
Плохой Санта," комедия, криминал, драма", Терри Цвигофф ," США, Германия",2003 , 7.0 
Тайное окно," драма, детектив, триллер", Дэвид Кепп , США,2004 , 6.5 
Рождественская история," мультфильм, приключения, комедия", Роберт Земекис , США,2009 , 6.8 
Повелитель бури," драма, триллер, военный", Кэтрин Бигелоу ," США, Люксембург",2008 , 7.5 
Дело храбрых," боевик, биография, драма", Джозеф Косински , США,2017 , 7.6 
С широко закрытыми глазами," драма, детектив, триллер", Стэнли Кубрик ," США, Великобритания",1999 , 7.5 
Тачки 2," мультфильм, фантастика, приключения", Джон Лассетер... ," США, Япония",2011 , 6.2 
На Западном фронте без перемен," военный, боевик, драма", Эдвард Бергер ," Германия, США, Великобритания",2022 , 7.8 
Пятьдесят оттенков серого," мелодрама, драма", Сэм Тейлор-Джонсон , США,2015 , 4.2 
Почему он?, комедия, Джон Гамбург , США,2016 , 6.2 
8 подруг Оушена," комедия, криминал, триллер", Гэри Росс , США,2018 , 6.3 
Притворись моей женой," комедия, мелодрама", Деннис Дуган , США,2011 , 6.4 
Воспоминания об убийстве," криминал, драма, детектив", Пон Джун Хо , Южная Корея,2003 , 8.1 
Бамблби," фантастика, боевик, приключения", Трэвис Найт ," США, Китай",2018 , 6.7 
Финч," фантастика, приключения, драма", Мигель Сапочник ," США, Индия",2021 , 6.9 
Глубоководный горизонт," боевик, драма, история", Питер Берг ," США, Гонконг",2016 , 7.1 
Угнать за 60 секунд," боевик, криминал, триллер", Доминик Сена , США,2000 , 6.5 
Обитель зла 2: Апокалипсис," фантастика, ужасы, боевик", Александр Уитт ," Канада, Германия, Великобритания",2004 , 6.1 
Вспомнить всё," фантастика, боевик, приключения", Лен Уайзман ," США, Канада, Великобритания",2012 , 6.2 
Охотники за привидениями: Наследники," фантастика, комедия, боевик", Джейсон Райтман ," США, Канада",2021 , 7.0 
Кредо убийцы," фантастика, боевик, приключения", Джастин Курзель ," США, Франция, Великобритания",2016 , 5.6 
Гангстер," биография, криминал, драма", Ридли Скотт ," США, Великобритания",2007 , 7.8 
Битлджюс," комедия, фэнтези", Тим Бёртон , США,1988 , 7.5 
Правдивая ложь," боевик, комедия, триллер", Джеймс Кэмерон , США,1994 , 7.3 
"Не грози Южному Централу, попивая сок у себя в квартале"," комедия, криминал", Пэрис Барклай , США,1995 , 6.5 
Армагеддец," фантастика, боевик, комедия", Эдгар Райт ," Великобритания, США, Япония",2013 , 6.9 
Мумия," фэнтези, ужасы, боевик", Алекс Куртцман ," США, Китай, Япония",2017 , 5.4 
Двадцать одно," криминал, драма, триллер", Роберт Лукетич , США,2008 , 6.8 
Собачья жизнь," фэнтези, приключения, комедия", Лассе Халльстрём ," США, Индия",2017 , 7.2 
Взрывная блондинка," боевик, триллер", Дэвид Литч ," США, Швеция, Венгрия",2017 , 6.7 
Звёздная пыль," фэнтези, приключения, мелодрама", Мэттью Вон ," США, Великобритания, Исландия",2007 , 7.6 
Враг," драма, детектив, триллер", Дени Вильнёв ," Канада, Испания",2013 , 6.9 
Курьер," комедия, драма, мелодрама", Карен Шахназаров , СССР,1986 , 7.8 
Тайна третьей планеты," мультфильм, фантастика, приключения", Роман Качанов , СССР,1981 , 7.8 
Час пик 2," боевик, комедия, криминал", Бретт Рэтнер ," США, Гонконг",2001 , 6.7 
Вольт," мультфильм, фантастика, приключения", Байрон Ховард... ," США, Япония",2008 , 6.8 
Адреналин: Высокое напряжение," криминал, боевик, комедия", Марк Невелдайн... , США,2009 , 6.1 
Чужой: Ромул," фантастика, ужасы, триллер", Феде Альварес ," США, Великобритания, Венгрия",2024 , 7.1 
Пункт назначения 2," ужасы, триллер, мистика", Дэвид Р. Эллис ," США, Канада",2003 , 6.2 
Плохие парни 2," боевик, комедия, криминал", Майкл Бэй , США,2003 , 6.6 
Дикие истории," комедия, драма, триллер", Дамиан Сифрон ," Аргентина, Испания, Франция",2014 , 8.1 
Ночь в музее 2," фэнтези, комедия, приключения", Шон Леви ," США, Канада",2009 , 6.0 
Знакомство с Факерами, комедия, Джей Роуч , США,2004 , 6.3 
Унесённые ветром," драма, мелодрама, военный", Виктор Флеминг... , США,1939 , 8.2 
Кокаин," биография, криминал, драма", Тед Демме , США,2001 , 7.5 
Царство Небесное," боевик, приключения, драма", Ридли Скотт ," Испания, США",2005 , 7.3 
Основной инстинкт," драма, детектив, триллер", Пол Верховен ," США, Франция, Великобритания",1992 , 7.1 
Тайна 7 сестер," фантастика, боевик, триллер", Томми Виркола ," Великобритания, Франция, США",2017 , 6.8 
Шерлок Холмс и доктор Ватсон: Знакомство," криминал, детектив", Игорь Масленников , СССР,1979 , 8.5 
Рио," мультфильм, приключения, комедия", Карлос Салдана ," США, Великобритания",2011 , 6.9 
Обитель зла 3," фантастика, ужасы, боевик", Рассел Малкэй ," Германия, США, Франция",2007 , 6.2 
Астерикс и Обеликс: Миссия Клеопатра," фэнтези, приключения, комедия", Ален Шаба ," Франция, Германия, Бельгия",2001 , 6.7 
Капитан Филлипс," триллер, драма, криминал", Пол Гринграсс , США,2013 , 7.8 
Комната," драма, триллер", Леонард Абрахамсон ," Канада, Ирландия, Великобритания",2015 , 8.1 
Пипец 2," боевик, комедия, криминал", Джефф Уодлоу ," США, Великобритания, Япония",2013 , 6.5 
Фантастическая четверка: Вторжение Серебряного серфера," фантастика, фэнтези, боевик", Тим Стори ," США, Великобритания, Германия",2007 , 5.6 
Багровый пик," ужасы, драма, детектив", Гильермо дель Торо ," США, Мексика, Канада",2015 , 6.5 
28 недель спустя," фантастика, ужасы", Хуан Карлос Фреснадильо ," Великобритания, Испания, США",2007 , 6.9 
Леди и бродяга," мультфильм, приключения, комедия", Клайд Джероними... , США,1955 , 7.3 
Сталкер," фантастика, драма, детектив", Андрей Тарковский , СССР,1979 , 8.0 
Зелёный фонарь," фантастика, боевик, приключения", Мартин Кэмпбелл , США,2011 , 5.5 
Воздушный маршал," боевик, детектив, триллер", Жауме Кольет-Серра ," Франция, Великобритания, США",2014 , 6.9 
Команда «А»," боевик, триллер, комедия", Джо Карнахан ," США, Великобритания",2010 , 6.7 
Крёстный отец 3," боевик, триллер, драма", Фрэнсис Форд Коппола , США,1990 , 7.6 
Риддик," фантастика, боевик, приключения", Дэвид Туи ," США, Канада",2013 , 6.4 
Превосходство," фантастика, драма, триллер", Уолли Пфистер ," США, Великобритания",2014 , 6.2 
Груз 200," криминал, драма, триллер", Алексей Балабанов , Россия,2007 , 7.1 
Французский вестник. Приложение к газете «Либерти. Канзас ивнинг сан»," комедия, драма, мелодрама", Уэс Андерсон ," США, Германия, Швеция",2021 , 7.1 
Ворон," ужасы, боевик, криминал", Алекс Пройас , США,1994 , 7.5 
Рэмбо: Первая кровь," боевик, приключения, триллер", Тед Котчефф , США,1982 , 7.7 
Автостопом по галактике," фантастика, приключения, комедия", Гарт Дженнингс ," США, Великобритания",2005 , 6.7 
Доказательство смерти," драма, триллер", Квентин Тарантино , США,2007 , 7.0 
Прошлой ночью в Сохо," детектив, триллер, ужасы", Эдгар Райт ," Великобритания, Китай",2021 , 7.0 
Чёрный ястреб," боевик, драма, история", Ридли Скотт ," США, Великобритания",2001 , 7.7 
Красный дракон," криминал, драма, триллер", Бретт Рэтнер ," США, Германия",2002 , 7.2 
Фуриоса: Хроники Безумного Макса," фантастика, боевик, триллер", Джордж Миллер ," Австралия, США",2024 , 7.5 
Баллада Бастера Скраггса," вестерн, драма, комедия", Итан Коэн... , США,2018 , 7.2 
Босс-молокосос," мультфильм, приключения, комедия", Том МакГрат , США,2017 , 6.3 
На гребне волны," боевик, криминал, триллер", Кэтрин Бигелоу ," США, Япония",1991 , 7.3 
Треугольник печали," комедия, драма", Рубен Эстлунд ," Швеция, Германия, Франция",2022 , 7.3 
Морской бой," фантастика, боевик, приключения", Питер Берг ," США, Япония",2012 , 5.8 
101 далматинец," мультфильм, приключения, комедия", Клайд Джероними... , США,1961 , 7.3 
Tomb Raider: Лара Крофт," фэнтези, боевик, приключения", Роар Утхауг ," США, Великобритания",2018 , 6.3 
ЛЕГО Фильм," мультфильм, фантастика, боевик", Фил Лорд... ," США, Дания, Австралия",2014 , 7.7 
Подводная Братва," мультфильм, приключения, комедия", Бибо Бержерон... ," США, Франция",2004 , 6.0 
Чудо," драма, семейный", Стивен Чбоски ," США, Гонконг, Канада",2017 , 7.9 
После нашей эры," фантастика, боевик, приключения", М. Найт Шьямалан , США,2013 , 4.8 
Человек на Луне," биография, драма, история", Дэмьен Шазелл ," США, Япония, Китай",2018 , 7.3 
Полный расколбас," мультфильм, приключения, комедия", Конрад Вернон... ," США, Канада",2016 , 6.1 
Челюсти," ужасы, приключения, драма", Стивен Спилберг , США,1975 , 8.1 
Левша," драма, спорт", Антуан Фукуа ," США, Китай, Гонконг",2015 , 7.3 
Сокровище нации: Книга Тайн," боевик, приключения, детектив", Джон Тёртлтауб , США,2007 , 6.5 
Экзамен," криминал, детектив, триллер", Стюарт Хэзелдайн , Великобритания,2009 , 6.7 
Запрещённый приём," фэнтези, боевик, приключения", Зак Снайдер ," США, Канада",2011 , 6.1 
Три тысячи лет желаний," фэнтези, мелодрама, драма", Джордж Миллер , Австралия,2022 , 6.7 
Ночной дозор," ужасы, боевик, фэнтези", Тимур Бекмамбетов , Россия,2004 , 6.4 
Леди Бёрд," комедия, драма", Грета Гервиг , США,2017 , 7.4 
Транс," криминал, драма, детектив", Дэнни Бойл ," Великобритания, Франция",2013 , 6.9 
Аллея кошмаров," криминал, драма, триллер", Гильермо дель Торо ," США, Мексика, Канада",2021 , 7.0 
Министерство неджентльменских дел," боевик, военный, история", Гай Ричи ," США, Великобритания, Турция",2024 , 6.8 
Убийство на яхте," комедия, детектив, криминал", Кайл Ньюачек ," США, Италия, Канада",2019 , 6.1 
Трансформеры: Последний рыцарь," фантастика, боевик, приключения", Майкл Бэй ," США, Китай, Канада",2017 , 5.2 
Лемони Сникет: 33 несчастья," фэнтези, приключения, комедия", Брэд Силберлинг ," США, Германия",2004 , 6.8 
Хроники Нарнии: Принц Каспиан," фэнтези, приключения", Эндрю Адамсон ," США, Польша, Словения",2008 , 6.5 
Эдди «Орёл»," спорт, биография, комедия", Декстер Флетчер ," Великобритания, Германия, США",2015 , 7.3 
Ванильное небо," фантастика, фэнтези, детектив", Кэмерон Кроу ," США, Испания",2001 , 6.9 
"Дивергент, глава 2: Инсургент"," фантастика, боевик, приключения", Роберт Швентке ," США, Канада",2015 , 6.2 
"Город грехов 2: Женщина, ради которой стоит убивать"," боевик, криминал, триллер", Роберт Родригес... , США,2014 , 6.5 
Девять ярдов," комедия, криминал", Джонатан Линн , США,2000 , 6.7 
Черная пантера: Ваканда навеки," фантастика, боевик, приключения", Райан Куглер , США,2022 , 6.7 
Перелом," криминал, драма, триллер", Грегори Хоблит ," США, Германия",2007 , 7.2 
Лекарство от здоровья," фантастика, ужасы, триллер", Гор Вербински ," США, Германия, Люксембург",2016 , 6.4 
Секреты Лос-Анджелеса," криминал, драма, детектив", Кёртис Хэнсон , США,1997 , 8.2 
Энканто," мультфильм, комедия, семейный", Джаред Буш... , США,2021 , 7.2 
Годзилла против Конга," фантастика, боевик", Адам Вингард , США,2021 , 6.3 
Выживут только любовники," комедия, драма, фэнтези", Джим Джармуш ," Великобритания, Германия, Греция",2013 , 7.2 
Город воров," криминал, драма, триллер", Бен Аффлек ," США, Великобритания",2010 , 7.5 
King’s Man: Начало," боевик, приключения, триллер", Мэттью Вон ," Великобритания, США",2021 , 6.3 
50 первых поцелуев," комедия, драма, мелодрама", Питер Сигал , США,2004 , 6.8 
Стрелок," боевик, драма, триллер", Антуан Фукуа ," США, Япония, Испания",2007 , 7.1 
История о супружестве," драма, мелодрама", Ноа Баумбах ," Великобритания, США",2019 , 7.9 
"Значит, война"," боевик, комедия, мелодрама", МакДжи , США,2012 , 6.3 
Кин-дза-дза!," фантастика, комедия, драма", Георгий Данелия , СССР,1986 , 7.9 
Чёрная дыра," фантастика, ужасы, триллер", Дэвид Туи , США,1999 , 7.0 
Голый пистолет," комедия, криминал", Дэвид Цукер , США,1988 , 7.6 
Суррогаты," фантастика, боевик, триллер", Джонатан Мостоу , США,2009 , 6.3 
День курка," фантастика, боевик, комедия", Джо Карнахан , США,2019 , 6.8 
Географ глобус пропил," приключения, драма, мелодрама", Александр Велединский , Россия,2013 , 7.3 
Идентификация," детектив, триллер", Джеймс Мэнголд , США,2003 , 7.3 
Дом у озера," драма, фэнтези, мелодрама", Алехандро Агрести ," США, Южная Корея",2006 , 6.8 
Монстры на каникулах 2," мультфильм, комедия, фэнтези", Геннди Тартаковски ," США, Канада",2015 , 6.6 
Тёмная башня," фантастика, фэнтези, боевик", Николай Арсель , США,2017 , 5.6 
Неогранённые алмазы," криминал, драма, триллер", Бенни Сэфди... , США,2019 , 7.4 
Геркулес," мультфильм, мюзикл, фэнтези", Рон Клементс... , США,1997 , 7.3 
Невозможное," драма, история, триллер", Хуан Антонио Байона ," Испания, Таиланд, США",2012 , 7.5 
Величайший шоумен," мюзикл, биография, драма", Майкл Грэйси ," США, Китай",2017 , 7.5 
Выстрел в пустоту," криминал, драма, триллер", Рик Роман Во , США,2017 , 7.3 
Блэйд 2," ужасы, боевик, триллер", Гильермо дель Торо ," США, Германия",2002 , 6.7 
Гнев," боевик, криминал, драма", Тони Скотт ," США, Швейцария, Великобритания",2004 , 7.7 
Фантастические твари: Тайны Дамблдора," фэнтези, приключения", Дэвид Йейтс ," США, Великобритания",2022 , 6.2 
Неоновый демон," ужасы, драма, триллер", Николас Виндинг Рефн ," США, Бельгия, Дания",2016 , 6.1 
Механик," боевик, криминал, триллер", Саймон Уэст ," США, Германия",2010 , 6.5 
Рыцари справедливости," драма, комедия, боевик", Андерс Томас Йенсен ," Дания, Швеция, Финляндия",2020 , 7.5 
Очень страшное кино 2," комедия, ужасы", Кинен Айвори Уайанс , США,2001 , 5.4 
Не пойман – не вор," криминал, драма, детектив", Спайк Ли , США,2006 , 7.6 
Фонтан," фантастика, драма, детектив", Даррен Аронофски ," США, Канада",2006 , 7.2 
Голая правда," комедия, мелодрама", Роберт Лукетич , США,2009 , 6.4 
Каскадёры," боевик, комедия, мелодрама", Дэвид Литч ," Австралия, США, Канада",2024 , 6.8 
Заплати другому, драма, Мими Ледер , США,2000 , 7.2 
Ворошиловский стрелок," криминал, драма", Станислав Говорухин , Россия,1999 , 7.4 
9 рота," боевик, драма, история", Фёдор Бондарчук ," Россия, Украина, Финляндия",2005 , 7.1 
Пила 3," ужасы, детектив, триллер", Даррен Линн Боусман ," США, Канада",2006 , 6.2 
Морбиус," фантастика, ужасы, боевик", Даниэль Эспиноса , США,2022 , 5.1 
Нокдаун," биография, драма, мелодрама", Рон Ховард , США,2005 , 8.0 
Лара Крофт: Расхитительница гробниц," фэнтези, боевик, приключения", Саймон Уэст ," Германия, США, Великобритания",2001 , 5.8 
Лило и Стич," мультфильм, фантастика, приключения", Дин ДеБлуа... ," США, Япония",2002 , 7.3 
Дьявол в деталях," криминал, драма, детектив", Джон Ли Хэнкок , США,2021 , 6.3 
Чёрный Адам," фантастика, фэнтези, боевик", Жауме Кольет-Серра ," США, Канада, Новая Зеландия",2022 , 6.2 
Смертельная битва," фантастика, фэнтези, боевик", Пол У. С. Андерсон , США,1995 , 5.8 
Ограбление по-итальянски," боевик, криминал, триллер", Ф. Гэри Грей ," США, Италия, Великобритания",2003 , 7.0 
Бэтмен возвращается," боевик, криминал, фэнтези", Тим Бёртон ," США, Великобритания",1992 , 7.1 
Вавилон," драма, история, комедия", Дэмьен Шазелл , США,2022 , 7.1 
Дьявол всегда здесь," криминал, драма, триллер", Антонио Кампос , США,2020 , 7.1 
Гордость и предубеждение," драма, мелодрама", Джо Райт ," Франция, Великобритания, США",2005 , 7.8 
Ёлки," комедия, драма, семейный", Тимур Бекмамбетов... , Россия,2010 , 6.2 
Гринч – похититель Рождества," комедия, семейный, фэнтези", Рон Ховард ," США, Германия",2000 , 6.4 
…А в душе я танцую," комедия, драма", Дэмиен О’Доннелл ," Великобритания, Ирландия, Франция",2004 , 7.7 
Соучастник," боевик, криминал, драма", Майкл Манн , США,2004 , 7.5 
Наркокурьер," криминал, драма, триллер", Клинт Иствуд ," США, Канада",2018 , 7.0 
Перевозчик 2," боевик, триллер", Луи Летерье ," Франция, Германия, США",2005 , 6.3 
Обитель зла: Жизнь после смерти," фантастика, ужасы, боевик", Пол У. С. Андерсон ," Франция, Германия, Канада",2010 , 5.8 
Приключения Паддингтона 2," приключения, комедия, семейный", Пол Кинг ," Великобритания, Франция, Люксембург",2017 , 7.8 
Великолепная семерка," боевик, приключения, драма", Антуан Фукуа ," США, Австралия",2016 , 6.9 
РобоКоп," фантастика, боевик, криминал", Жозе Падилья , США,2014 , 6.1 
Дракула," ужасы, фэнтези, мелодрама", Фрэнсис Форд Коппола ," США, Великобритания",1992 , 7.4 
Невероятные приключения итальянцев в России," приключения, комедия, криминал", Эльдар Рязанов... ," СССР, Италия",1973 , 7.6 
Из Парижа с любовью," боевик, триллер, комедия", Пьер Морель ," Франция, Великобритания, США",2009 , 6.4 
Битва Титанов," фэнтези, боевик, приключения", Луи Летерье ," США, Великобритания, Австралия",2010 , 5.8 
